title,author,runtime
A Game of Malice and Greed,"By: Caroline Peckham, Susanne Valenti",Length: 25 hrs and 50 mins
Two Weeks Notice,By: Amy Porterfield,Length: 7 hrs and 38 mins
Never Shall I Fail,"By: Jason Anspach, Nick Cole",Length: 11 hrs and 15 mins
Toe the Line,By: Penelope Ward,Length: 8 hrs and 9 mins
Dirty Thirty,By: Janet Evanovich,Length: 8 hrs
"Portal to Nova Roma: The Rhine, Book 3",By: J.R. Mathews,Length: 25 hrs and 24 mins
Payback in Death,By: J. D. Robb,Length: 13 hrs
Rise of the Weakest Summoner: Volumes I-III Omnibus,By: J. R. Saileri,Length: 28 hrs and 43 mins
The New Guy,By: Sarina Bowen,Length: 9 hrs and 49 mins
Stain,By: Neven Iliev,Length: 16 hrs and 33 mins
I Will Find You,By: Harlan Coben,Length: 10 hrs and 16 mins
The Lord Ruler,By: Alvin Atwater,Length: 17 hrs and 39 mins
Mark of the Fool 3,By: J.M. Clarke,Length: 22 hrs and 51 mins
In the Frame,"By: Matthew Costello, Neil Richards",Length: 3 hrs and 10 mins
The Medici Manuscript,By: C.J. Archer,Length: 7 hrs and 59 mins
Powerless,By: Elsie Silver,Length: 10 hrs and 25 mins
How to Defy a Vampire,By: Alice Winters,Length: 9 hrs and 52 mins
Poison Roses,"By: Tate James, Jaymin Eve",Length: 8 hrs and 25 mins
Empath And Narcissist,By: Lisa Kennedy,Length: 20 hrs and 32 mins
Reclusive Mage,By: Inadvisably Compelled,Length: 12 hrs and 27 mins
