title,author,runtime
A Game of Malice and Greed,"By: Caroline Peckham, Susanne Valenti",Length: 25 hrs and 50 mins
Two Weeks Notice,By: Amy Porterfield,Length: 7 hrs and 38 mins
Toe the Line,By: Penelope Ward,Length: 8 hrs and 9 mins
How to Defy a Vampire,By: Alice Winters,Length: 9 hrs and 52 mins
Dirty Thirty,By: Janet Evanovich,Length: 8 hrs
"Portal to Nova Roma: The Rhine, Book 3",By: J.R. Mathews,Length: 25 hrs and 24 mins
Payback in Death,By: J. D. Robb,Length: 13 hrs
Never Shall I Fail,"By: Jason Anspach, Nick Cole",Length: 11 hrs and 15 mins
Rise of the Weakest Summoner: Volumes I-III Omnibus,By: J. R. Saileri,Length: 28 hrs and 43 mins
The New Guy,By: Sarina Bowen,Length: 9 hrs and 49 mins
Stain,By: Neven Iliev,Length: 16 hrs and 33 mins
The Lord Ruler,By: Alvin Atwater,Length: 17 hrs and 39 mins
Mark of the Fool 3,By: J.M. Clarke,Length: 22 hrs and 51 mins
One for the Ages,By: JD Kirk,Length: 11 hrs and 32 mins
Powerless,By: Elsie Silver,Length: 10 hrs and 25 mins
Empath And Narcissist,By: Lisa Kennedy,Length: 20 hrs and 32 mins
Reclusive Mage,By: Inadvisably Compelled,Length: 12 hrs and 27 mins
Never Marry Your Brother's Best Friend,By: Lauren Landish,Length: 11 hrs and 25 mins
Annoyed at First Sight,By: Lani Lynn Vale,Length: 5 hrs and 41 mins
The Path of Ascension 2,By: C. Mantis,Length: 17 hrs and 38 mins
