title,author,runtime
1. The Quarry Girls,By: Jess Lourey,Length: 10 hrs and 2 mins
2. Spare,By: Prince Harry The Duke of Sussex,Length: 15 hrs and 39 mins
3. Atomic Habits,By: James Clear,Length: 5 hrs and 35 mins
4. Daisy Jones & The Six,By: Taylor Jenkins Reid,Length: 9 hrs and 3 mins
5. Lessons in Chemistry,By: Bonnie Garmus,Length: 11 hrs and 55 mins
6. Never Finished,By: David Goggins,Length: 11 hrs and 6 mins
7. Someone Else's Shoes,By: Jojo Moyes,Length: 12 hrs and 21 mins
8. I'm Glad My Mom Died,By: Jennette McCurdy,Length: 6 hrs and 26 mins
9. It Ends with Us,By: Colleen Hoover,Length: 11 hrs and 11 mins
"10. Harry Potter and the Sorcerer's Stone, Book 1",By: J.K. Rowling,Length: 8 hrs and 18 mins
11. Remarkably Bright Creatures,By: Shelby Van Pelt,Length: 11 hrs and 16 mins
12. The Subtle Art of Not Giving a F*ck,By: Mark Manson,Length: 5 hrs and 17 mins
13. Win Every Argument,By: Mehdi Hasan,Length: 8 hrs and 12 mins
14. Demon Copperhead,By: Barbara Kingsolver,Length: 21 hrs and 3 mins
15. Verity,By: Colleen Hoover,Length: 8 hrs and 10 mins
16. Burner,By: Mark Greaney,Length: 16 hrs and 37 mins
17. The Courage to Be Free,By: Ron DeSantis,Length: 8 hrs and 59 mins
18. Can't Hurt Me,By: David Goggins,Length: 13 hrs and 37 mins
19. Fairy Tale,By: Stephen King,Length: 24 hrs and 6 mins
20. 12 Rules for Life,"By: Jordan B. Peterson, Norman Doidge MD - foreword",Length: 15 hrs and 40 mins
21. 8 Rules of Love,By: Jay Shetty,Length: 10 hrs and 11 mins
22. The Seven Husbands of Evelyn Hugo,By: Taylor Jenkins Reid,Length: 12 hrs and 10 mins
23. The Midwife of Auschwitz,By: Anna Stuart,Length: 11 hrs and 42 mins
24. It Starts with Us,By: Colleen Hoover,Length: 8 hrs and 41 mins
"25. Harry Potter and the Chamber of Secrets, Book 2",By: J.K. Rowling,Length: 9 hrs and 2 mins
26. Greenlights,By: Matthew McConaughey,Length: 6 hrs and 42 mins
27. All My Knotted-Up Life,By: Beth Moore,Length: 8 hrs and 29 mins
28. Finding Me,By: Viola Davis,Length: 9 hrs and 15 mins
"29. Harry Potter and the Prisoner of Azkaban, Book 3",By: J.K. Rowling,Length: 11 hrs and 49 mins
"30. Tomorrow, and Tomorrow, and Tomorrow",By: Gabrielle Zevin,Length: 13 hrs and 52 mins
31. I Have Some Questions for You,By: Rebecca Makkai,Length: 14 hrs and 4 mins
"32. Harry Potter and the Goblet of Fire, Book 4",By: J.K. Rowling,Length: 20 hrs and 36 mins
33. Mad Honey,"By: Jodi Picoult, Jennifer Finney Boylan",Length: 15 hrs and 12 mins
34. Never Split the Difference,By: Chris Voss,Length: 8 hrs and 7 mins
35. A Court of Thorns and Roses,By: Sarah J. Maas,Length: 16 hrs and 7 mins
36. The Body Keeps the Score,By: Bessel A. van der Kolk,Length: 16 hrs and 15 mins
