date,home_team,score,away_team
14-08-2022,Almeria,1 - 2,Real Madrid
22-08-2022,Elche,1 - 1,Almeria
27-08-2022,Almeria,2 - 1,Sevilla
05-09-2022,Valladolid,1 - 0,Almeria
12-09-2022,Almeria,0 - 1,Osasuna
17-09-2022,Mallorca,1 - 0,Almeria
30-09-2022,Ath Bilbao,4 - 0,Almeria
08-10-2022,Almeria,3 - 1,Vallecano
16-10-2022,Betis,3 - 1,Almeria
20-10-2022,Almeria,3 - 2,Girona
23-10-2022,Villarreal,2 - 1,Almeria
29-10-2022,Almeria,3 - 1,Celta
05-11-2022,Barcelona,2 - 0,Almeria
09-11-2022,Almeria,1 - 0,Getafe
30-12-2022,Cadiz,1 - 1,Almeria
08-01-2023,Almeria,0 - 2,Sociedad
15-01-2023,Almeria,1 - 1,Ath Madrid
23-01-2023,Valencia,2 - 2,Almeria
27-01-2023,Almeria,3 - 1,Espanol
06-02-2023,Vallecano,2 - 0,Almeria
11-02-2023,Almeria,2 - 3,Betis
17-02-2023,Girona,6 - 2,Almeria
26-02-2023,Almeria,1 - 0,Barcelona
04-03-2023,Almeria,0 - 2,Villarreal
04-03-2023,Almeria,? - ?,Villarreal
15-08-2022,Ath Bilbao,0 - 0,Mallorca
21-08-2022,Ath Bilbao,1 - 0,Valencia
29-08-2022,Cadiz,0 - 4,Ath Bilbao
04-09-2022,Ath Bilbao,0 - 1,Espanol
11-09-2022,Elche,1 - 4,Ath Bilbao
17-09-2022,Ath Bilbao,3 - 2,Vallecano
30-09-2022,Ath Bilbao,4 - 0,Almeria
08-10-2022,Sevilla,1 - 1,Ath Bilbao
15-10-2022,Ath Bilbao,0 - 1,Ath Madrid
18-10-2022,Getafe,2 - 2,Ath Bilbao
23-10-2022,Barcelona,4 - 0,Ath Bilbao
30-10-2022,Ath Bilbao,1 - 0,Villarreal
04-11-2022,Girona,2 - 1,Ath Bilbao
08-11-2022,Ath Bilbao,3 - 0,Valladolid
29-12-2022,Betis,0 - 0,Ath Bilbao
09-01-2023,Ath Bilbao,0 - 0,Osasuna
14-01-2023,Sociedad,3 - 1,Ath Bilbao
22-01-2023,Ath Bilbao,0 - 2,Real Madrid
29-01-2023,Celta,1 - 0,Ath Bilbao
03-02-2023,Ath Bilbao,4 - 1,Cadiz
11-02-2023,Valencia,1 - 2,Ath Bilbao
19-02-2023,Ath Madrid,1 - 0,Ath Bilbao
26-02-2023,Ath Bilbao,2 - 3,Girona
05-03-2023,Vallecano,? - ?,Ath Bilbao
15-08-2022,Getafe,0 - 3,Ath Madrid
21-08-2022,Ath Madrid,0 - 2,Villarreal
29-08-2022,Valencia,0 - 1,Ath Madrid
03-09-2022,Sociedad,1 - 1,Ath Madrid
10-09-2022,Ath Madrid,4 - 1,Celta
18-09-2022,Ath Madrid,1 - 2,Real Madrid
01-10-2022,Sevilla,0 - 2,Ath Madrid
08-10-2022,Ath Madrid,2 - 1,Girona
15-10-2022,Ath Bilbao,0 - 1,Ath Madrid
18-10-2022,Ath Madrid,1 - 1,Vallecano
23-10-2022,Betis,1 - 2,Ath Madrid
29-10-2022,Cadiz,3 - 2,Ath Madrid
06-11-2022,Ath Madrid,1 - 1,Espanol
09-11-2022,Mallorca,1 - 0,Ath Madrid
29-12-2022,Ath Madrid,2 - 0,Elche
08-01-2023,Ath Madrid,0 - 1,Barcelona
15-01-2023,Almeria,1 - 1,Ath Madrid
21-01-2023,Ath Madrid,3 - 0,Valladolid
29-01-2023,Osasuna,0 - 1,Ath Madrid
04-02-2023,Ath Madrid,1 - 1,Getafe
12-02-2023,Celta,0 - 1,Ath Madrid
19-02-2023,Ath Madrid,1 - 0,Ath Bilbao
25-02-2023,Real Madrid,1 - 1,Ath Madrid
04-03-2023,Ath Madrid,6 - 1,Sevilla
04-03-2023,Ath Madrid,? - ?,Sevilla
13-08-2022,Barcelona,0 - 0,Vallecano
21-08-2022,Sociedad,1 - 4,Barcelona
28-08-2022,Barcelona,4 - 0,Valladolid
03-09-2022,Sevilla,0 - 3,Barcelona
10-09-2022,Cadiz,0 - 4,Barcelona
17-09-2022,Barcelona,3 - 0,Elche
01-10-2022,Mallorca,0 - 1,Barcelona
